k,D,a,b,err,approx
3,848,1565,-586,2.321790534602446e-08,0.868243929775196
3,503,1240,-568,2.3457967605629212e-08,0.8682439295667634
3,931,377,305,2.367240754223992e-08,0.8682439704874265
3,902,1882,-777,2.451061392881811e-08,0.8682439712151941
3,158,915,-550,2.4746403670091508e-08,0.8682439284480866
3,491,-261,486,2.790408702764658e-08,0.8682439741615566
3,982,-522,972,2.790408702764658e-08,0.8682439741615566
3,722,361,188,2.851266099420985e-08,0.8682439746899473
3,953,983,-110,2.8826207423513346e-08,0.8682439749621821
3,855,-546,911,2.946281917625204e-08,0.8682439243530874
3,984,1874,-721,2.950312991934373e-08,0.8682439243180878
3,231,622,-298,2.9806209938254325e-08,0.8682439758130633
3,462,1244,-596,2.9806209938254325e-08,0.8682439758130633
3,693,1866,-894,2.9806210193994205e-08,0.8682439758130636
3,826,959,-171,3.041301213891812e-08,0.8682439235280881
3,668,44,379,3.175331787763905e-08,0.8682439223643758
3,639,1549,-703,3.308553034419805e-08,0.8682439212076903
3,773,-538,855,3.3569137145504876e-08,0.8682439790802021
3,975,1589,-525,3.374742556458772e-08,0.868243979235
3,991,-237,776,3.4846626264336815e-08,0.8682439196786295
3,744,967,-227,3.4971109441867404e-08,0.8682439802974561
3,481,634,-153,3.5824786173231125e-08,0.868243918829348
3,962,1268,-306,3.5824786173231125e-08,0.868243918829348
3,513,345,71,3.729682454790534e-08,0.8682439823167442
3,804,353,244,3.800188111597655e-08,0.8682439169390985
3,997,2195,-940,3.845145878503261e-08,0.8682439833192483
3,775,1858,-838,3.9334129002509155e-08,0.8682439157823824
3,795,68,440,3.94733426693479e-08,0.8682439842064928
3,766,1573,-642,4.105857688613999e-08,0.8682439855828629
3,323,-281,397,4.124393306045968e-08,0.8682439141242065
3,646,-562,794,4.124393306045968e-08,0.8682439141242065
3,940,662,109,4.2442349581700935e-08,0.8682439130836886
3,617,943,-288,4.306972183612853e-08,0.8682439125389765
3,282,-277,369,4.343275342103495e-08,0.8682439876442273
3,564,-554,738,4.343275342103495e-08,0.8682439876442273
3,911,2167,-973,4.371706507364737e-08,0.8682439119769246
3,817,674,25,4.505957388357803e-08,0.8682439890567043
3,535,951,-344,4.591707546061042e-08,0.8682439898012249
3,782,-253,659,4.601774529119921e-08,0.868243909979373
3,753,1252,-423,4.76976287102883e-08,0.8682439085208243
3,868,-225,692,4.8590407558063436e-08,0.8682439921223293
3,459,28,262,4.9377094634020734e-08,0.8682439070626382
3,918,56,524,4.9377094634020734e-08,0.8682439070626382
3,839,1280,-390,5.035284406666136e-08,0.8682439936525541
3,889,1561,-558,5.090957303786457e-08,0.8682439057320731
3,586,52,323,5.107241860419915e-08,0.8682439942773204
3,890,381,277,5.349307650191813e-08,0.8682439963790419
3,595,337,127,5.3792239736672624e-08,0.8682439032292152
3,557,1557,-759,5.38563729054719e-08,0.8682439966944718
3,861,1886,-805,5.537561037694775e-08,0.8682439980135406
3,941,-518,944,5.6292922479431284e-08,0.8682439988099913
3,731,646,-8,5.6564539971542495e-08,0.8682439008221823
3,896,-550,939,5.665238534216042e-08,0.8682439007459111
3,304,329,-46,5.8159213163753296e-08,0.8682440004303869
3,608,658,-92,5.8159213163753296e-08,0.8682440004303869
3,912,987,-138,5.8159213291623236e-08,0.868244000430387
3,867,955,-143,5.846709904651825e-08,0.8682438991702969
3,963,88,529,6.064797970673047e-08,0.8682440025912433
3,659,-241,575,6.179606022578284e-08,0.8682440035880573
3,934,1593,-553,6.260553193500835e-08,0.8682440042908762
